start
5 = MKS-20211004-Space_Time_Pronouns_1-M
4 = MKS-20211004-Space_Time_Pronouns_1-M
Pitch object already exists
Pitch object ID is 6
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
interval #2	label: ēn	start: 26.950442944768533	end: 27.12453240029695
step #6/18	fMin: 198.20333479521648	fMax: 202.626674465766	fMean: 200.32071073503624	stdev: 1.7717550760338512
step #7/18	fMin: 202.62667446576404	fMax: 207.6945034888442	fMean: 204.84361422035448	stdev: 2.0625905682429417
step #8/18	fMin: 207.6945034888442	fMax: 211.77283371032183	fMean: 209.8257307261048	stdev: 1.617312556081265
step #9/18	fMin: 211.77283371032183	fMax: 213.30749309882566	fMean: 212.42412748277647	stdev: 0.5989496037878737
step #10/18	fMin: 213.30749309882566	fMax: 215.36238988988765	fMean: 214.16234681097745	stdev: 0.8498445142514122
step #11/18	fMin: 215.36238988988765	fMax: 216.44456103106512	fMean: 215.89387272744125	stdev: 0.4126395345014259
step #12/18	fMin: 216.0270861021429	fMax: 216.38974866000453	fMean: 216.2675580707613	stdev: 0.11758369808140308
step #13/18	fMin: 212.36775275822484	fMax: 216.0270861021429	fMean: 214.475166701686	stdev: 1.4668530229150682
step #14/18	fMin: 204.77292248758224	fMax: 212.3677527582282	fMean: 208.69975572374315	stdev: 3.1389224553970556
step #15/18	fMin: 195.78216259894188	fMax: 204.77292248758224	fMean: 200.87003891783655	stdev: 3.4222834138650606
step #16/18	fMin: 180.41816981541922	fMax: 195.78216259894188	fMean: 187.96182828899757	stdev: 6.154721496062724
step #17/18	fMin: 175.29739438812658	fMax: 180.41816981541922	fMean: 177.82520618566667	stdev: 1.869479719267895
step #18/18	fMin: 171.94250366287505	fMax: 175.29739438812658	fMean: 173.47739295082468	stdev: 1.2648323248793185
interval #8	label: wēn	start: 30.911928257051084	end: 31.107334788766654
step #1/19	fMin: 1407.2966147113782	fMax: 1554.1420368525112	fMean: 1468.6558899212516	stdev: 78.57778859185241
step #2/19	fMin: 1406.7198331662578	fMax: 1408.5862788228287	fMean: 1407.569904989614	stdev: 0.8718596825866918
step #3/19	fMin: 1405.7231313188634	fMax: 1415.8672291561018	fMean: 1411.467704765331	stdev: 4.802465113580636
step #4/19	fMin: 1415.8672291561018	fMax: 1419.644714221037	fMean: 1418.2204256760558	stdev: 1.5939187703582383
step #5/19	fMin: 1415.6994472429976	fMax: 1417.1387610537136	fMean: 1416.442732582565	stdev: 0.8655219308700942
step #6/19	fMin: 1416.693254431225	fMax: 1422.6186355126397	fMean: 1419.9188972363197	stdev: 2.6663924117138293
step #7/19	fMin: 1420.3943250543834	fMax: 1425.1566113691913	fMean: 1423.0516028116022	stdev: 2.312837931502186
step #8/19	fMin: 1422.9785777634543	fMax: 1428.507696744827	fMean: 1426.0346757045425	stdev: 2.6007835616606028
step #9/19	fMin: 1423.694907727391	fMax: 1425.2455195169598	fMean: 1424.4752607021926	stdev: 0.879611554774517
step #10/19	fMin: 1425.2455195169598	fMax: 1426.8364361326426	fMean: 1426.091421728469	stdev: 0.6361091951611124
step #11/19	fMin: 1426.8364361326426	fMax: 1429.5661187883643	fMean: 1428.4482722919258	stdev: 1.272280105624561
step #12/19	fMin: 1424.2770863105154	fMax: 1429.183275765075	fMean: 1426.3762921275086	stdev: 2.292132035850507
step #13/19	fMin: 1423.54999033567	fMax: 1427.6050330428438	fMean: 1425.6302094266218	stdev: 1.8854505860825963
step #14/19	fMin: 1420.2068967714574	fMax: 1427.4122247303073	fMean: 1424.6415340531325	stdev: 3.1397629332891914
step #15/19	fMin: 1416.1433968757592	fMax: 1420.2068967714574	fMean: 1417.555068814037	stdev: 1.5908265084225124
step #16/19	fMin: 1416.9363070779336	fMax: 1422.8217481258287	fMean: 1419.751861267945	stdev: 2.756701554293137
step #17/19	fMin: 1418.5356863329753	fMax: 1419.986757601353	fMean: 1419.1692708196542	stdev: 0.6926603897921987
step #18/19	fMin: 1419.986757601353	fMax: 1421.8461452881413	fMean: 1420.8108418308343	stdev: 0.9832646886690898
step #19/19	fMin: 1418.1738651127555	fMax: 1422.9422071958686	fMean: 1420.259181518485	stdev: 1.9829562547110953
interval #9	label: wîn	start: 31.107334788766654	end: 31.382680356184046
step #1/27	fMin: 1427.1973446545805	fMax: 1438.3893503129354	fMean: 1433.9935211981908	stdev: 5.0694112324119365
step #2/27	fMin: 1438.3893503129354	fMax: 1450.0219536723735	fMean: 1443.914604014105	stdev: 4.831732381467686
step #3/27	fMin: 1450.0219536723653	fMax: 1470.1644055820143	fMean: 1458.6127592161738	stdev: 7.97927363039804
step #4/27	fMin: 1470.1644055820143	fMax: 1497.7680312477498	fMean: 1483.0973140592287	stdev: 10.737334294210266
step #5/27	fMin: 1497.7680312477294	fMax: 1538.3687110090893	fMean: 1517.1646972645792	stdev: 16.291058187970783
step #6/27	fMin: 1538.3687110090893	fMax: 1584.9143896265878	fMean: 1562.526204798586	stdev: 18.04782486219528
step #7/27	fMin: 1584.9143896265598	fMax: 1628.1733768873978	fMean: 1607.1367194120692	stdev: 16.90811898898966
step #8/27	fMin: 1628.1733768873978	fMax: 1659.6014432357692	fMean: 1643.1796009673565	stdev: 12.954757713526421
step #9/27	fMin: 1659.601443235757	fMax: 1677.4755919530949	fMean: 1669.2708367549924	stdev: 7.171768511845325
step #10/27	fMin: 1677.4755919530949	fMax: 1698.498015517403	fMean: 1687.0763028161107	stdev: 8.367254705649344
step #11/27	fMin: 1698.498015517403	fMax: 1711.0853023783768	fMean: 1705.497758590853	stdev: 5.049741786484048
step #12/27	fMin: 1708.5312401200663	fMax: 1711.369101492224	fMean: 1710.477682131195	stdev: 1.181706242652367
step #13/27	fMin: 1698.7752490898274	fMax: 1708.5312401200663	fMean: 1703.0063242980464	stdev: 3.9648487896774456
step #14/27	fMin: 1684.36587411455	fMax: 1698.7752490898372	fMean: 1691.9440288924484	stdev: 5.2702883484921275
step #15/27	fMin: 1660.1861022274973	fMax: 1684.36587411455	fMean: 1672.4976128354588	stdev: 9.068615435381576
step #16/27	fMin: 1623.3428081127158	fMax: 1660.1861022275143	fMean: 1644.2265477524393	stdev: 14.240563640387636
step #17/27	fMin: 1580.4266001476421	fMax: 1623.3428081127158	fMean: 1597.1277154600878	stdev: 16.244387282293097
step #18/27	fMin: 1546.4322837118239	fMax: 1580.4266001476421	fMean: 1564.7524909292845	stdev: 12.935267096717316
step #19/27	fMin: 1486.4885925094095	fMax: 1546.4322837118668	fMean: 1513.5623711479811	stdev: 23.889633419883012
step #20/27	fMin: 1443.942628052137	fMax: 1486.4885925094095	fMean: 1463.9125152173178	stdev: 16.925976368283283
step #21/27	fMin: 1402.033698653633	fMax: 1443.9426280521582	fMean: 1423.7809991957665	stdev: 16.957692111304976
step #22/27	fMin: 1365.7024989765562	fMax: 1402.033698653633	fMean: 1378.6064518961286	stdev: 14.100481118357132
step #23/27	fMin: 1341.768307692731	fMax: 1365.7024989765655	fMean: 1355.847632791687	stdev: 9.40570801347071
step #24/27	fMin: 1304.8199653775616	fMax: 1341.768307692731	fMean: 1321.5935727089159	stdev: 15.667656271490355
step #25/27	fMin: 1285.4186830010374	fMax: 1304.8199653775714	fMean: 1295.3697847955182	stdev: 7.930990643556489
