start
2 = MKS-20211020-Plants_and_Animals_4-M
1 = MKS-20211020-Plants_and_Animals_4-M
Pitch object already exists
Pitch object ID is 3
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
interval #2	label: ìín	start: 44.4978102051447	end: 44.87760138891721
step #13/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #14/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #15/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #16/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #17/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #18/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #19/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #20/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #21/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #22/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #23/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #24/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #25/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #26/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #10	label: āà	start: 65.1098240469247	end: 65.33380346299568
step #1/22	fMin: 223.71203347595403	fMax: 225.111289393269	fMean: 224.6846497023684	stdev: 0.6229895813115794
step #2/22	fMin: 218.35573810667475	fMax: 223.71203347595403	fMean: 221.05064560208194	stdev: 2.056380232516176
step #3/22	fMin: 214.54609988892037	fMax: 218.35573810668254	fMean: 215.95816680846406	stdev: 1.5337511787459206
step #4/22	fMin: 211.41819351189864	fMax: 214.54609988892037	fMean: 213.00813955253366	stdev: 1.3169900776088437
step #5/22	fMin: 205.224006879091	fMax: 211.41819351189864	fMean: 208.22250854836926	stdev: 2.787576224218233
step #6/22	fMin: 201.56673503720174	fMax: 205.22400687909442	fMean: 203.06055807667695	stdev: 1.5975204019428453
step #7/22	fMin: 198.6493837673792	fMax: 201.56673503720174	fMean: 200.14324118768843	stdev: 1.2378568041357463
step #8/22	fMin: 195.0709371389754	fMax: 198.6493837673821	fMean: 196.85930747098465	stdev: 1.522809904941272
step #9/22	fMin: 193.91576282398867	fMax: 195.0709371389754	fMean: 194.45055306754676	stdev: 0.5016334995318981
step #10/22	fMin: 193.1929234089037	fMax: 193.91576282398867	fMean: 193.52060918636718	stdev: 0.32568429411328276
step #11/22	fMin: 193.2868164083275	fMax: 193.6763485360492	fMean: 193.5147981309352	stdev: 0.1695930170719029
step #12/22	fMin: 193.6763485360492	fMax: 194.06390147277222	fMean: 193.88539159237033	stdev: 0.15744554129191174
step #13/22	fMin: 194.06390147277222	fMax: 194.5528440790345	fMean: 194.3753162787184	stdev: 0.2160217353542637
step #14/22	fMin: 192.17746178626788	fMax: 194.4139095341236	fMean: 193.47854833672775	stdev: 0.9033753905319168
step #15/22	fMin: 188.46883638418322	fMax: 192.17746178626788	fMean: 189.85648129396114	stdev: 1.7420617260495521
step #16/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #17/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #18/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #19/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #20/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #21/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #22/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #12	label: à	start: 65.48636915220344	end: 65.64542699839876
step #1/15	fMin: 153.84683172254842	fMax: 153.84683172254842	fMean: 153.84683172254842	stdev: --undefined--
step #2/15	fMin: 148.1643194594371	fMax: 153.84683172254842	fMean: 151.5706523232009	stdev: 3.239067652834366
step #3/15	fMin: 141.92893604084946	fMax: 148.1643194594381	fMean: 144.8347766487991	stdev: 2.6317066043905375
step #4/15	fMin: 138.6716306326898	fMax: 141.92893604084946	fMean: 140.09108201436362	stdev: 1.3236308339494933
step #5/15	fMin: 138.16609093416713	fMax: 139.05758013341514	fMean: 138.75235482731952	stdev: 0.3746461323503288
step #6/15	fMin: 135.57084455067653	fMax: 138.16609093416898	fMean: 136.9857475355923	stdev: 0.9712199064134861
step #7/15	fMin: 133.90318389705027	fMax: 135.57084455067653	fMean: 134.61337744582775	stdev: 0.7409177799534201
step #8/15	fMin: 133.87966570651284	fMax: 135.28280499886847	fMean: 134.22918134792513	stdev: 0.5689143253541563
step #9/15	fMin: 135.28280499886847	fMax: 135.84134797251622	fMean: 135.70155156174275	stdev: 0.2526983402048813
step #10/15	fMin: 135.65380038836196	fMax: 137.44710917697202	fMean: 136.34647366607362	stdev: 0.9722835302895664
step #11/15	fMin: 132.51301002351957	fMax: 139.04995908554713	fMean: 136.0275851687215	stdev: 3.2620238583683
step #12/15	fMin: 131.73946195635673	fMax: 132.51301002351957	fMean: 132.02474581100765	stdev: --undefined--
step #13/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #14/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #15/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #14	label: ōò	start: 73.8329393111703	end: 74.00498147134076
step #1/17	fMin: 212.49800303630042	fMax: 213.32534009941315	fMean: 213.0935077786278	stdev: 0.3318978220294917
step #2/17	fMin: 211.8030884212582	fMax: 213.11084617004823	fMean: 212.52225559226687	stdev: 0.4958973146639566
step #3/17	fMin: 209.10669335748443	fMax: 211.8030884212606	fMean: 210.7183417089384	stdev: 0.9853993261027177
step #4/17	fMin: 206.37787361532494	fMax: 209.10669335748443	fMean: 207.19587873721008	stdev: 1.1354186252964058
step #5/17	fMin: 206.476050027888	fMax: 207.2025161702184	fMean: 206.79851273265962	stdev: 0.3164802881303719
step #6/17	fMin: 203.37554457531232	fMax: 207.3885094899679	fMean: 205.58246482764923	stdev: 1.6361570610168883
step #7/17	fMin: 198.1114543742851	fMax: 203.37554457531232	fMean: 200.46870246084274	stdev: 2.1814594997418424
step #8/17	fMin: 194.82838808085756	fMax: 198.11145437428888	fMean: 196.2767467915462	stdev: 1.348479234174122
step #9/17	fMin: 193.4717616349339	fMax: 194.82838808085756	fMean: 193.9875939964412	stdev: 0.5332456111941287
step #10/17	fMin: 192.0321928178169	fMax: 193.4717616349339	fMean: 192.73320016228135	stdev: 0.5689934823238451
step #11/17	fMin: 189.97720893597915	fMax: 192.03219281781864	fMean: 191.1118142549518	stdev: 0.7823985237096621
step #12/17	fMin: 185.82868334298007	fMax: 189.97720893597915	fMean: 187.99162055300528	stdev: 1.6600374011008767
step #13/17	fMin: 180.34186994865473	fMax: 185.82868334298007	fMean: 183.30617652904382	stdev: 2.190654938368971
step #14/17	fMin: 173.8613970020761	fMax: 180.34186994866212	fMean: 177.18630338601193	stdev: 2.4704354547977205
step #15/17	fMin: 172.9451783085885	fMax: 173.8613970020761	fMean: 173.13256874798617	stdev: --undefined--
