start
11 = MKS-20211011-Space_Time_Pronouns_2-M
12 = MKS-20211011-Space_Time_Pronouns_2-M
Pitch object already exists
Pitch object ID is 13
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
step #4/12	fMin: 148.58566219608065	fMax: 156.32261448427695	fMean: 152.56189091112344	stdev: 3.2209930204631396
step #5/12	fMin: 144.0779411350833	fMax: 148.58566219600334	fMean: 146.0263285950752	stdev: 1.7348607240663907
step #6/12	fMin: 143.68071694319582	fMax: 144.8800520934635	fMean: 144.14675237513788	stdev: 0.470157812293379
step #7/12	fMin: 144.8800520934635	fMax: 146.18961681161	fMean: 145.76032614004643	stdev: 0.5016130395086308
step #8/12	fMin: 146.0245953140014	fMax: 146.306751271912	fMean: 146.10879351749654	stdev: 0.1176553291004778
step #9/12	fMin: 146.306751271912	fMax: 148.18895877468591	fMean: 147.0267198209382	stdev: 0.8653851969429951
step #10/12	fMin: 148.18895877468591	fMax: 149.62072634284144	fMean: 149.14350152238814	stdev: 0.6655374100335248
step #11/12	fMin: 149.1131379925985	fMax: 149.5586558723671	fMean: 149.31302862012262	stdev: --undefined--
step #12/12	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #14	label: à	start: 261.5312122525025	end: 261.761598628244
step #1/23	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/23	fMin: 171.85048414226628	fMax: 172.44335616127535	fMean: 172.11714810819578	stdev: 0.36951241406060387
step #3/23	fMin: 169.21271754654	fMax: 171.85048414226628	fMean: 170.8572196284298	stdev: 1.1936302322150676
step #4/23	fMin: 165.48653008247308	fMax: 169.21271754654	fMean: 166.8932063212659	stdev: 1.465654364454714
step #5/23	fMin: 164.37785727952095	fMax: 165.4865300824574	fMean: 164.96256470000233	stdev: 0.44782762372507556
step #6/23	fMin: 162.6017793022652	fMax: 164.37785727952095	fMean: 163.68397882958368	stdev: 0.7574871682893669
step #7/23	fMin: 159.93157063272344	fMax: 162.6017793022652	fMean: 160.97666731944426	stdev: 1.0597525853851906
step #8/23	fMin: 159.40181468430606	fMax: 159.93157063272344	fMean: 159.634706455426	stdev: 0.19710030475010978
step #9/23	fMin: 157.49100693262764	fMax: 159.40181468430606	fMean: 158.66263587674382	stdev: 0.7222554139310257
step #10/23	fMin: 155.26242660867428	fMax: 157.49100693262764	fMean: 156.39858831687954	stdev: 1.1107598363599387
step #11/23	fMin: 153.19997096452198	fMax: 155.2624266086705	fMean: 154.21860814340928	stdev: 0.8049549486106596
step #12/23	fMin: 150.461743991012	fMax: 153.19997096452198	fMean: 151.7752401160246	stdev: 1.1264099344678462
step #13/23	fMin: 149.4005046614274	fMax: 150.461743991012	fMean: 149.83162449733837	stdev: 0.4512500388727472
step #14/23	fMin: 147.02529299523158	fMax: 149.4005046614274	fMean: 148.2619153838319	stdev: 0.9709250717276712
step #15/23	fMin: 146.37564626928568	fMax: 147.02529299523158	fMean: 146.68615994579721	stdev: 0.30761761577357843
step #16/23	fMin: 143.45274070867453	fMax: 146.37564626928568	fMean: 145.0814506751987	stdev: 1.4471256172954794
