start
7 = MKS-20211018-music_and_verbs-M
4 = MKS-20211018-music_and_verbs-M_mono
Pitch object already exists
Pitch object ID is 6
4 tiers
Tier number 1 is named IU
Tier number 2 is named word
Tier number 3 is named Vowel
Tier number 4 is named Vowel1
The vowel tier has number 3
interval #2	label: ì	start: 28.7792031355525	end: 28.8463229397771
step #17/19	fMin: 173.06553063622974	fMax: 175.71310432399386	fMean: 174.4786518602619	stdev: 1.072258824857091
step #18/19	fMin: 171.9971314238165	fMax: 173.0655306362281	fMean: 172.35193387912173	stdev: 0.40573017252296983
step #19/19	fMin: 170.79059768778137	fMax: 171.9971314238165	fMean: 171.61009139061727	stdev: 0.48915093944129223
interval #17	label: ī	start: 33.2142528669487	end: 33.39096039709143
step #1/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/17	fMin: 148.75812364318602	fMax: 148.82202357044562	fMean: 148.78396006849673	stdev: 0.03223096551201905
step #3/17	fMin: 148.82202357044588	fMax: 149.01309601583142	fMean: 148.91716994593347	stdev: 0.06918670404254917
step #4/17	fMin: 149.01309601583142	fMax: 149.22907967608757	fMean: 149.1532208838266	stdev: 0.09038852759320623
step #5/17	fMin: 148.41055440014188	fMax: 149.20005127412438	fMean: 148.8981201463157	stdev: 0.3410379729014671
step #6/17	fMin: 147.1764202167481	fMax: 148.41055440014188	fMean: 147.6626298965443	stdev: 0.48716213509542106
step #7/17	fMin: 147.12250483974978	fMax: 147.34547490384276	fMean: 147.18608420469323	stdev: 0.09413122377595903
step #8/17	fMin: 147.34547490384276	fMax: 147.79252717755455	fMean: 147.6527269453061	stdev: 0.19213152483033938
step #9/17	fMin: 147.68953503498727	fMax: 147.7845185898584	fMean: 147.74136967062427	stdev: 0.04595625409997489
step #10/17	fMin: 147.73318246516496	fMax: 148.05518633554658	fMean: 147.96496343306663	stdev: 0.1372692321934345
step #11/17	fMin: 147.71546506320038	fMax: 147.92639545956138	fMean: 147.8019492189506	stdev: 0.08994728218124437
step #12/17	fMin: 147.73459371414495	fMax: 147.73585974161742	fMean: 147.73573383672064	stdev: --undefined--
step #13/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #14/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #15/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #16/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #17/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #19	label: ō	start: 34.03641513557132	end: 34.10777779197512
step #1/7	fMin: 166.40638106798704	fMax: 166.89659318183578	fMean: 166.53186959105162	stdev: --undefined--
step #2/7	fMin: 166.89659318183578	fMax: 178.5109481412983	fMean: 169.661842007188	stdev: 4.589841984613516
step #3/7	fMin: 178.51094814132477	fMax: 189.23595376716102	fMean: 187.13272974345844	stdev: 4.364178839492875
step #4/7	fMin: 187.93111257104948	fMax: 189.96580029296925	fMean: 189.19713211349173	stdev: 0.8322676465279756
step #5/7	fMin: 184.04376256915916	fMax: 187.93111257104948	fMean: 185.9820693463796	stdev: 1.5430195677268093
step #6/7	fMin: 182.63723644406616	fMax: 184.04376256915916	fMean: 183.10902124753645	stdev: --undefined--
step #7/7	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #21	label: ú	start: 34.298078209051916	end: 34.423812413191946
step #1/12	fMin: 252.31126483634384	fMax: 260.73109568648437	fMean: 256.50257570144316	stdev: 3.211947885007443
step #2/12	fMin: 260.73109568648437	fMax: 267.7404291229941	fMean: 265.2865199262551	stdev: 2.852522699137309
step #3/12	fMin: 267.16772899802015	fMax: 267.6607434151496	fMean: 267.4200745448585	stdev: 0.2528530178261903
step #4/12	fMin: 267.22775488367563	fMax: 268.3212521075033	fMean: 267.70905847833484	stdev: 0.45450825334167766
step #5/12	fMin: 268.3212521075033	fMax: 269.09803661270314	fMean: 268.79070890743543	stdev: 0.2977593502527642
step #6/12	fMin: 269.09803661270314	fMax: 269.6882193564942	fMean: 269.41621858088286	stdev: 0.226897057846058
step #7/12	fMin: 269.6882193564944	fMax: 270.391307768502	fMean: 270.0200558052854	stdev: 0.3139385251306085
step #8/12	fMin: 270.391307768502	fMax: 271.23378795602713	fMean: 270.9115432151183	stdev: 0.408272325817052
step #9/12	fMin: 271.23378795602713	fMax: 271.56227659986473	fMean: 271.4306245447713	stdev: 0.14087794184152388
step #10/12	fMin: 271.0647077021484	fMax: 271.48934534741045	fMean: 271.35920863310275	stdev: 0.17863032448269128
step #11/12	fMin: 269.8503416352972	fMax: 271.0647077021484	fMean: 270.57274433120443	stdev: 0.4471810620659076
step #12/12	fMin: 266.741047023942	fMax: 269.8503416352972	fMean: 268.43631150972226	stdev: 1.2390563654927018
interval #23	label: én	start: 34.5801306129336	end: 34.673310415715356
step #1/9	fMin: 269.082012425166	fMax: 270.2487155284511	fMean: 269.70751021598915	stdev: 0.4884064285859004
step #2/9	fMin: 268.06121762030824	fMax: 269.082012425166	fMean: 268.4828207890653	stdev: 0.41429923014500697
step #3/9	fMin: 267.9595150182179	fMax: 268.56033326015756	fMean: 268.1570111910457	stdev: 0.27298552478422894
step #4/9	fMin: 268.56033326015756	fMax: 269.0735533438317	fMean: 268.84351067405913	stdev: 0.20081572299469347
step #5/9	fMin: 269.0735533438317	fMax: 269.8095160915157	fMean: 269.4113018450809	stdev: 0.3115815540289489
step #6/9	fMin: 269.8095160915157	fMax: 270.0683684115936	fMean: 269.93407804782476	stdev: 0.08569770219879272
step #7/9	fMin: 270.06836841159424	fMax: 270.5365479620315	fMean: 270.3190982109174	stdev: 0.19990606683153456
step #8/9	fMin: 268.66030508241124	fMax: 270.49808782525923	fMean: 269.83249134382066	stdev: 0.7719312285246492
step #9/9	fMin: 266.52727158207676	fMax: 268.66030508241124	fMean: 267.38464217396916	stdev: --undefined--
interval #25	label: á	start: 35.03212143903292	end: 35.076312361095745
step #1/4	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/4	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #3/4	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #4/4	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #27	label: à'	start: 35.178697720037526	end: 35.29450841234011
step #1/11	fMin: 251.53023633867213	fMax: 268.88510333337933	fMean: 258.4786188938171	stdev: 6.384455196432936
step #2/11	fMin: 241.51566412084279	fMax: 251.53023633867213	fMean: 245.77220923199116	stdev: 3.954441515286832
step #3/11	fMin: 233.7214344474004	fMax: 241.51566412083966	fMean: 237.9615975319748	stdev: 3.1777739941877314
step #4/11	fMin: 225.89546450676866	fMax: 233.7214344474004	fMean: 229.96590948335034	stdev: 2.8852221161136478
step #5/11	fMin: 215.7779847287607	fMax: 225.89546450676866	fMean: 219.8992427228079	stdev: 4.052063891578641
step #6/11	fMin: 206.46399224586685	fMax: 215.7779847287607	fMean: 211.0147780848271	stdev: 3.7424619694890575
step #7/11	fMin: 195.66610457810842	fMax: 206.4639922458607	fMean: 200.98225464138278	stdev: 4.346633890178675
step #8/11	fMin: 186.32362132922697	fMax: 195.66610457810842	fMean: 190.55627764277565	stdev: 3.9376916114760294
step #9/11	fMin: 177.69264534642238	fMax: 186.32362132922697	fMean: 182.49034932707903	stdev: 3.5708992363090832
step #10/11	fMin: 169.05260714916363	fMax: 177.692645346418	fMean: 173.3357715092415	stdev: 3.636498534956495
step #11/11	fMin: 163.10431606736728	fMax: 169.05260714916363	fMean: 165.97294042267313	stdev: 2.8540736974675847
interval #29	label: ē	start: 35.334343882285786	end: 35.42196381396208
step #1/8	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/8	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #3/8	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #4/8	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #5/8	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #6/8	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #7/8	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #8/8	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #31	label: ī	start: 36.73379972405548	end: 36.8135662243679
step #1/7	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/7	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #3/7	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #4/7	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #5/7	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #6/7	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #7/7	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #33	label: één	start: 36.91432390897306	end: 37.067559554310066
step #1/15	fMin: 215.07294296060562	fMax: 215.07294296060562	fMean: 215.07294296060562	stdev: --undefined--
step #2/15	fMin: 215.07294296060562	fMax: 218.38714649536783	fMean: 216.68405371873698	stdev: 1.2282070200438362
step #3/15	fMin: 218.38714649537425	fMax: 236.33207226789762	fMean: 229.32627082585967	stdev: 7.583846646314157
step #4/15	fMin: 236.33207226789762	fMax: 241.20374843939302	fMean: 239.04421961932061	stdev: 1.7712327002589985
step #5/15	fMin: 241.20374843939302	fMax: 243.9612139912622	fMean: 242.55647431870742	stdev: 0.9981234377180692
step #6/15	fMin: 243.9612139912622	fMax: 246.60165395000337	fMean: 245.4332516703844	stdev: 1.1026002482366928
step #7/15	fMin: 246.60165395000425	fMax: 247.46999648756548	fMean: 247.06390213597757	stdev: 0.35814055288292146
step #8/15	fMin: 247.46999648756548	fMax: 248.84642148093306	fMean: 248.18760527217435	stdev: 0.549196590263273
step #9/15	fMin: 248.84642148093306	fMax: 249.7970479481328	fMean: 249.15606958109788	stdev: 0.3685391577388117
step #10/15	fMin: 249.79704794813532	fMax: 250.94405552050804	fMean: 250.37873477053643	stdev: 0.43559321364177345
step #11/15	fMin: 250.94405552050804	fMax: 251.75896347272396	fMean: 251.2809094274225	stdev: 0.3055961885260129
step #12/15	fMin: 251.75896347272396	fMax: 252.60781796203366	fMean: 252.17177547165062	stdev: 0.3206374849677284
step #13/15	fMin: 252.5408346305014	fMax: 253.01957474311584	fMean: 252.81193690256012	stdev: 0.21865508614887819
step #14/15	fMin: 248.78467233985896	fMax: 252.54083463050048	fMean: 250.5877841980789	stdev: 1.7136663413693112
step #15/15	fMin: 110.70483379158037	fMax: 265.25152958128143	fMean: 192.18697518358405	stdev: 75.46308040044752
interval #35	label: á	start: 37.16621812048595	end: 37.294264344671674
step #1/12	fMin: 263.1326675149601	fMax: 264.23175014629084	fMean: 263.6251786321305	stdev: 0.5178012410737117
step #2/12	fMin: 262.52705478497745	fMax: 264.00822871031187	fMean: 263.3319125880898	stdev: 0.5694301841190844
step #3/12	fMin: 261.10914874090867	fMax: 262.5270547849763	fMean: 261.7309166029488	stdev: 0.559010133623078
step #4/12	fMin: 260.8284336330221	fMax: 261.10914874090867	fMean: 260.9201500506275	stdev: 0.11947405417723754
step #5/12	fMin: 260.81029405343315	fMax: 260.9303679236319	fMean: 260.85903183551403	stdev: 0.05186145735588486
step #6/12	fMin: 260.9303679236319	fMax: 262.04718407036233	fMean: 261.4440603981884	stdev: 0.4744717531078045
step #7/12	fMin: 262.0471840703631	fMax: 263.14733497822016	fMean: 262.61339197029184	stdev: 0.45757558684511374
step #8/12	fMin: 262.99079755371787	fMax: 263.10058463180945	fMean: 263.0374169181546	stdev: 0.05681111882909174
step #9/12	fMin: 262.9630678942174	fMax: 263.34491283309103	fMean: 263.1843919333886	stdev: 0.1846321962170021
step #10/12	fMin: 263.0165444297575	fMax: 263.2911952436859	fMean: 263.16378490198497	stdev: 0.1142203359896357
step #11/12	fMin: 262.5584930526302	fMax: 263.15894982629356	fMean: 262.9469353914816	stdev: 0.25665864490173484
step #12/12	fMin: 260.6279017298012	fMax: 262.5584930526302	fMean: 261.8465391822396	stdev: 0.8640645911286086
interval #38	label: á'	start: 39.045813785468745	end: 39.15971243011175
step #1/11	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/11	fMin: 288.4094469834988	fMax: 291.6989314630922	fMean: 289.6321821347429	stdev: --undefined--
step #3/11	fMin: 291.69893146309636	fMax: 296.6362749852456	fMean: 294.3634832559428	stdev: 1.936672965834698
step #4/11	fMin: 296.6362749852456	fMax: 298.03672849254133	fMean: 297.5723412853955	stdev: 0.6103587751949751
step #5/11	fMin: 296.3861038122805	fMax: 297.76180762993727	fMean: 297.042105192452	stdev: 0.5438668418981408
step #6/11	fMin: 295.41456766634155	fMax: 296.3861038122805	fMean: 296.0183224705964	stdev: 0.37956654769101916
step #7/11	fMin: 292.2597061493774	fMax: 295.41456766634053	fMean: 294.05494894125235	stdev: 1.2692876028306703
step #8/11	fMin: 287.7994474246155	fMax: 292.2597061493774	fMean: 289.883752688992	stdev: 1.8458914004297473
step #9/11	fMin: 287.1567881819913	fMax: 287.7994474246155	fMean: 287.3430264512886	stdev: 0.33676600759742964
step #10/11	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #11/11	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #40	label: 'àn	start: 39.2664154599011	end: 39.58851615351607
step #1/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #3/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #4/32	fMin: 90.34955528202129	fMax: 90.34955528202129	fMean: 90.34955528202129	stdev: --undefined--
step #5/32	fMin: 90.20426802721474	fMax: 90.37820397278989	fMean: 90.28895508052132	stdev: 0.0848250786705321
step #6/32	fMin: 85.7215392997335	fMax: 90.96327328163738	fMean: 87.33694798343649	stdev: 2.6392338452944313
step #7/32	fMin: 85.1489935288221	fMax: 85.74860254050978	fMean: 85.56438316484822	stdev: 0.2547814851196992
step #8/32	fMin: 83.53972769471284	fMax: 85.1489935288221	fMean: 84.25422198774181	stdev: 0.6811567359390831
step #9/32	fMin: 83.07397068934287	fMax: 83.53972769471284	fMean: 83.232905877267	stdev: 0.1656279229231604
step #10/32	fMin: 82.6143637064844	fMax: 83.07397068934263	fMean: 82.86596796708236	stdev: 0.19050802174628576
